scenario,quarter_index,quarter,country,rank,composite_score,implementation_score,innovation_score,investment_score,talent_score,infrastructure_score,operating_environment_score,research_score,development_score,commercial_ecosystem_score,government_strategy_score
baseline,1,2026Q1,UAE,11.0,25.56516333899999,39.10831308586666,8.077257411764707,31.87254024806832,34.13514299999999,50.14824,45.262485999999996,7.100418,9.338,18.302879,81.38
baseline,1,2026Q1,Japan,12.0,22.934060240999997,20.479713075200003,25.078310421524666,23.371209259861732,9.805549,40.800648,40.613047,20.311903,31.23,10.053349,71.96
baseline,1,2026Q1,Spain,13.0,22.141652517199994,32.182436782399996,11.25003292218412,23.620785860105734,28.328127999999992,30.508564999999997,57.942934,14.789403,6.6819999999999995,5.075851,91.28
baseline,2,2026Q2,United States of America,1.0,76.6910523072466,73.72280236693332,74.99635879621896,83.83034485563238,72.61859899999999,79.28400599999999,68.707888,77.199435,72.1529927712786,85.5956,77.39
baseline,2,2026Q2,China,2.0,50.103786397523855,33.8013536816,70.99625786686858,42.754591798724064,17.608435999999998,63.96388299999999,65.70797,77.84145717864358,62.16015732041693,28.470109447182637,94.87
baseline,2,2026Q2,South Korea,3.0,37.84886532357318,31.313044840514443,51.85562940815254,26.22341411325283,21.864396330590047,48.873993999999996,50.010816000000005,25.094224,86.39482091982248,9.42791466553819,87.5
baseline,2,2026Q2,Singapore,4.0,33.11548322969607,51.8552167389618,18.43640960794498,27.169225334685137,56.310213516737285,42.13708899999999,45.990356,20.415143,15.882588142428649,12.738002641445988,79.82
baseline,2,2026Q2,Canada,5.0,32.86445341959999,44.856085317333324,23.13710140226853,29.57359204554697,41.94014599999999,40.92203799999999,69.81874599999999,28.821981,15.8,10.270188000000001,100.0
baseline,2,2026Q2,United Kingdom,6.0,32.57475851862712,37.38945935893333,30.17244071576654,28.93619674802658,35.37574299999999,31.680918,60.76709700000001,41.04030559619427,16.146,14.167009224558218,82.82
baseline,2,2026Q2,Germany,7.0,30.21167665159374,35.78758321866667,28.198158655240476,24.812850116310422,32.084827,35.029208999999994,58.791722,36.389601808060235,17.625999999999998,8.411890381350943,84.65
baseline,2,2026Q2,India,8.0,28.910027565741448,46.6673072932572,19.22986801367324,16.755174161045307,55.70999705362968,18.771287,51.527429000000005,19.67744,18.652216193253928,5.2227478041504725,58.83
baseline,2,2026Q2,Israel,9.0,27.725202566031278,39.37580024850702,19.203680453786617,23.09670193242736,39.60298993888491,30.116510999999996,57.058828,20.810449000000002,17.129929629187345,17.39191712530512,43.91
baseline,2,2026Q2,France,10.0,26.420190709982066,31.81229328586667,21.901197695156895,25.164472638609524,23.834751999999998,37.703493,65.93375,28.178108830683424,13.8,7.064579387741361,91.2
baseline,2,2026Q2,UAE,11.0,25.649607970460572,39.1733640037857,8.149909160425722,32.007046027290514,34.234467487864976,50.14824,45.262485999999996,7.100418,9.50441859768816,18.47425190730952,81.38
baseline,2,2026Q2,Japan,12.0,23.014647414606323,20.536391235014,25.134672077612702,23.527447914041744,9.892089349878866,40.800648,40.613047,20.311903,31.359103950591987,10.252411616906041,71.96
baseline,2,2026Q2,Spain,13.0,22.22020649346486,32.182436782399996,11.307447127926011,23.852154407708454,28.328127999999992,30.508564999999997,57.942934,14.891302463467937,6.6819999999999995,5.370636108059635,91.28
baseline,3,2026Q3,United States of America,1.0,76.7155793811105,73.72280236693332,75.06105695993276,83.83034485563238,72.61859899999999,79.28400599999999,68.707888,77.199435,72.30119261335656,85.5956,77.39
baseline,3,2026Q3,China,2.0,50.2085499485887,33.8013536816,71.11643547650107,42.99437452230764,17.608435999999998,63.96388299999999,65.70797,77.94716297299433,62.29757937715159,28.775615000183663,94.87
baseline,3,2026Q3,South Korea,3.0,37.91621583705103,31.369963314919488,51.875132191212025,26.38178854964157,21.951303610320874,48.873993999999996,50.010816000000005,25.094224,86.43949466639562,9.629698468170265,87.5
baseline,3,2026Q3,Singapore,4.0,33.192073711950215,51.89559115878901,18.502804796866183,27.31829682050712,56.37186012681548,42.13708899999999,45.990356,20.415143,16.03467524889408,12.92793361742332,79.82
baseline,3,2026Q3,Canada,5.0,32.86445341959999,44.856085317333324,23.13710140226853,29.57359204554697,41.94014599999999,40.92203799999999,69.81874599999999,28.821981,15.8,10.270188000000001,100.0
baseline,3,2026Q3,United Kingdom,6.0,32.643043009583536,37.38945935893333,30.21709041550407,29.145338798685422,35.37574299999999,31.680918,60.76709700000001,41.1195504518614,16.146,14.433475702573814,82.82
baseline,3,2026Q3,Germany,7.0,30.283581107998742,35.78758321866667,28.243272430597326,25.036003089022955,32.084827,35.029208999999994,58.791722,36.4696703110461,17.625999999999998,8.696208080781062,84.65
baseline,3,2026Q3,India,8.0,28.987525626145395,46.70375882735723,19.2891393288703,16.924794947621056,55.76565391554951,18.771287,51.527429000000005,19.67744,18.78798510921287,5.4388605058032,58.83
baseline,3,2026Q3,Israel,9.0,27.798040052326066,39.418585677898314,19.265437838033016,23.23373881198526,39.668317854282854,30.116510999999996,57.058828,20.810449000000002,17.271393220533625,17.5665148905035,43.91
baseline,3,2026Q3,France,10.0,26.495633459734897,31.81229328586667,21.9535960514473,25.39093137408566,23.834751999999998,37.703493,65.93375,28.271106100672622,13.8,7.353108937241783,91.2
baseline,3,2026Q3,UAE,11.0,25.73377654684241,39.238201512366686,8.222322350976711,32.14110992205513,34.333466126781374,50.14824,45.262485999999996,7.100418,9.670290745953295,18.645061812608063,81.38
baseline,3,2026Q3,Japan,12.0,23.094971156752127,20.592883453584513,25.190848665475922,23.68317359867426,9.978345791100125,40.800648,40.613047,20.311903,31.487783977534267,10.450820662766844,71.96
baseline,3,2026Q3,Spain,13.0,22.29851487355986,32.182436782399996,11.364683120975382,24.08280247271251,28.328127999999992,30.508564999999997,57.942934,14.992885632779812,6.6819999999999995,5.664503254093296,91.28
baseline,4,2026Q4,United States of America,1.0,76.7399759235875,73.72280236693332,75.12541080450413,83.83034485563238,72.61859899999999,79.28400599999999,68.707888,77.199435,72.44860374614811,85.5956,77.39
baseline,4,2026Q4,China,2.0,50.31274447231957,33.8013536816,71.23596107232478,43.23286078107202,17.608435999999998,63.96388299999999,65.70797,78.05229200562012,62.43427008322635,29.079468736091247,94.87
baseline,4,2026Q4,South Korea,3.0,37.983345324227564,31.42669505969282,51.89457093524764,26.539643215751987,22.03792577762543,48.873993999999996,50.010816000000005,25.094224,86.48402172297509,9.830820034991781,87.5
baseline,4,2026Q4,Singapore,4.0,33.26841331926828,51.9358331242484,18.568981971616005,27.466880411012024,56.43330449590046,42.13708899999999,45.990356,20.415143,16.186262964589893,13.11724296926351,79.82
baseline,4,2026Q4,Canada,5.0,32.86445341959999,44.856085317333324,23.13710140226853,29.57359204554697,41.94014599999999,40.92203799999999,69.81874599999999,28.821981,15.8,10.270188000000001,100.0
baseline,4,2026Q4,United Kingdom,6.0,32.71111551264738,37.38945935893333,30.261601523352926,29.353819963893933,35.37574299999999,31.680918,60.76709700000001,41.198549332879665,16.146,14.699100150888695,82.82
baseline,4,2026Q4,Germany,7.0,30.35525960729569,35.78758321866667,28.288246173582877,25.25846307458402,32.084827,35.029208999999994,58.791722,36.54949028279621,17.625999999999998,8.979642849949279,84.65
baseline,4,2026Q4,India,8.0,29.064770064634295,46.74009077670715,19.348216021732824,17.093861058891285,55.82112818674747,18.771287,51.527429000000005,19.67744,18.923308216549323,5.654266499385321,58.83
baseline,4,2026Q4,Israel,9.0,27.87063849505582,39.461230743241615,19.326992436728652,23.370324938881208,39.733431451610784,30.116510999999996,57.058828,20.810449000000002,17.41239230431318,17.740538354771445,43.91
baseline,4,2026Q4,France,10.0,26.570839883459396,31.81229328586667,22.005831764154337,25.616680605078685,23.834751999999998,37.703493,65.93375,28.363814708758937,13.8,7.640734511859321,91.2
baseline,4,2026Q4,UAE,11.0,25.817669002152556,39.30282631173111,8.294497766743236,32.27473338406094,34.43213998574579,50.14824,45.262485999999996,7.100418,9.835618239107918,18.81531056549526,81.38
baseline,4,2026Q4,Japan,12.0,23.17503233072179,20.6491903409198,25.24684079280137,23.838388001528877,10.06431925506891,40.800648,40.613047,20.311903,31.616041472815695,10.6485782879583,71.96
baseline,4,2026Q4,Spain,13.0,22.376576202296704,32.182436782399996,11.42174145450132,24.31273230513929,28.328127999999992,30.508564999999997,57.942934,15.09415348970716,6.6819999999999995,5.9574553048380885,91.28
baseline,5,2027Q1,United States of America,1.0,76.76424262935659,73.72280236693332,75.18942216237565,83.83034485563238,72.61859899999999,79.28400599999999,68.707888,77.199435,72.59523036710942,85.5956,77.39
baseline,5,2027Q1,China,2.0,50.41637553212745,33.8013536816,71.35484115526421,43.4700516229356,17.608435999999998,63.96388299999999,65.70797,78.15685788214964,62.570233330838704,29.38167199005111,94.87
baseline,5,2027Q1,South Korea,3.0,38.05025531624296,31.483240687429124,51.91394585053689,26.696980600305608,22.124263767857983,48.873993999999996,50.010816000000005,25.094224,86.52840257122979,10.031282536866055,87.5
baseline,5,2027Q1,Singapore,4.0,33.34450093064444,51.975943069876465,18.63494184806226,27.614977703139093,56.49454728747426,42.13708899999999,45.990356,20.415143,16.33735292930757,13.30593273161608,79.82
baseline,5,2027Q1,Canada,5.0,32.86445341959999,44.856085317333324,23.13710140226853,29.57359204554697,41.94014599999999,40.92203799999999,69.81874599999999,28.821981,15.8,10.270188000000001,100.0
baseline,5,2027Q1,United Kingdom,6.0,32.77897312418137,37.38945935893333,30.30597446949991,29.561653431860513,35.37574299999999,31.680918,60.76709700000001,41.27730300275008,16.146,14.963899372510367,82.82
baseline,5,2027Q1,Germany,7.0,30.42671213855531,35.78758321866667,28.33308031885517,25.48023222598074,32.084827,35.029208999999994,58.791722,36.629062494747174,17.625999999999998,9.262197431961987,84.65
baseline,5,2027Q1,India,8.0,29.141758786243912,46.77630353362275,19.40709873131958,17.262372239035614,55.876420466239956,18.771287,51.527429000000005,19.67744,19.058186979113305,5.868965458957812,58.83
baseline,5,2027Q1,Israel,9.0,27.9429984184208,39.50373590502234,19.388344915736894,23.506461230359967,39.798331433971406,30.116510999999996,57.058828,20.810449000000002,17.552928405775564,17.91398868676433,43.91
baseline,5,2027Q1,France,10.0,26.645810174815225,31.81229328586667,22.057905338120843,25.84172257181523,23.834751999999998,37.703493,65.93375,28.45623555094388,13.8,7.927458965851631,91.2
baseline,5,2027Q1,UAE,11.0,25.90128430482461,39.36723909970361,8.366436188478746,32.40791786023752,34.53049013024777,50.14824,45.262485999999996,7.100418,10.000402865572763,18.98500000949433,81.38
baseline,5,2027Q1,Japan,12.0,23.254831073019776,20.70531250502691,25.302649065280683,23.993093023376538,10.150010670134733,40.800648,40.613047,20.311903,31.743877823854422,10.845686914239852,71.96
baseline,5,2027Q1,Spain,13.0,22.45438990501468,32.182436782399996,11.478622679955876,24.541946147963312,28.328127999999992,30.508564999999997,57.942934,15.195107012974127,6.6819999999999995,6.249495118052738,91.28
baseline,6,2027Q2,United States of America,1.0,76.78838018939973,73.72280236693332,75.25309285623783,83.83034485563238,72.61859899999999,79.28400599999999,68.707888,77.199435,72.74107665135807,85.5956,77.39
baseline,6,2027Q2,China,2.0,50.51943898496608,33.8013536816,71.4730771710893,43.70598176018501,17.608435999999998,63.96388299999999,65.70797,78.26085987170649,62.705472991472185,29.68226898875386,94.87
baseline,6,2027Q2,South Korea,3.0,38.11694763268788,31.539600808713395,51.93325714666682,26.853803133326352,22.210318513304244,48.873993999999996,50.010816000000005,25.094224,86.57263769124704,10.231089069870208,87.5
baseline,6,2027Q2,Singapore,4.0,33.4203374146081,52.01592142878417,18.700685139722157,27.762590288600244,56.555589162842296,42.13708899999999,45.990356,20.415143,16.487946777454198,13.49400493247047,79.82
baseline,6,2027Q2,Canada,5.0,32.86445341959999,44.856085317333324,23.13710140226853,29.57359204554697,41.94014599999999,40.92203799999999,69.81874599999999,28.821981,15.8,10.270188000000001,100.0
baseline,6,2027Q2,United Kingdom,6.0,32.8466094852465,37.38945935893333,30.350209682796535,29.768842416450795,35.37574299999999,31.680918,60.76709700000001,41.35581222260378,16.146,15.22787746220337,82.82
baseline,6,2027Q2,Germany,7.0,30.497939763119945,35.78758321866667,28.37777529972307,25.701312689508473,32.084827,35.029208999999994,58.791722,36.708387715941086,17.625999999999998,9.543874561399655,84.65
baseline,6,2027Q2,India,8.0,29.218492879651834,46.8123974891328,19.46578809459092,17.430321273191232,55.93153135107817,18.771287,51.527429000000005,19.67744,19.192622855948134,6.082948192112559,58.83
baseline,6,2027Q2,Israel,9.0,28.01511664425007,39.54610162221519,19.449495938734685,23.642155544370564,39.86301850216083,30.116510999999996,57.058828,20.810449000000002,17.693003045162044,18.08687589824208,43.91
baseline,6,2027Q2,France,10.0,26.72054483313534,31.81229328586667,22.10981727662265,26.06605016349777,23.834751999999998,37.703493,65.93375,28.548369520447785,13.8,8.213273239399491,91.2
baseline,6,2027Q2,UAE,11.0,25.98462397677796,39.43144057181949,8.43813839437302,32.540664792760936,34.62851762228139,50.14824,45.262485999999996,7.100418,10.164646407896138,19.154131982072087,81.38
baseline,6,2027Q2,Japan,12.0,23.334363424690295,20.761250551918227,25.35827408661668,24.14729126352315,10.235420961601521,40.800648,40.613047,20.311903,31.87129441351289,11.042149853369652,71.96
baseline,6,2027Q2,Spain,13.0,22.53195797743394,32.182436782399996,11.535327347079427,24.770446237134344,28.328127999999992,30.508564999999997,57.942934,15.295747178266904,6.6819999999999995,6.540625542545779,91.28
baseline,7,2027Q3,United States of America,1.0,76.81238929102153,73.72280236693332,75.31642469908088,83.83034485563238,72.61859899999999,79.28400599999999,68.707888,77.199435,72.88614675179193,85.5956,77.39
baseline,7,2027Q3,China,2.0,50.62193816277107,33.8013536816,71.59066799745986,43.940648906184904,17.608435999999998,63.96388299999999,65.70797,78.36429551457888,62.83999291600652,29.98125681881279,94.87
baseline,7,2027Q3,South Korea,3.0,38.18342212796927,31.595776032127496,51.95250503253626,27.010111868788123,22.29609094319141,48.873993999999996,50.010816000000005,25.094224,86.61672756153772,10.430240976865285,87.5
baseline,7,2027Q3,Singapore,4.0,33.49592417376917,52.05576863266158,18.76621255777,27.909719753897186,56.61643078114045,42.13708899999999,45.990356,20.415143,16.638046138070134,13.681461593177813,79.82
baseline,7,2027Q3,United Kingdom,5.0,32.914033184198516,37.38945935893333,30.394307590763162,29.975386462589093,35.37574299999999,31.680918,60.76709700000001,41.434077751209344,16.146,15.491033840158849,82.82
baseline,7,2027Q3,Canada,6.0,32.86445341959999,44.856085317333324,23.13710140226853,29.57359204554697,41.94014599999999,40.92203799999999,69.81874599999999,28.821981,15.8,10.270188000000001,100.0
baseline,7,2027Q3,Germany,7.0,30.568948011044558,35.78758321866667,28.422331548150453,25.921706604791627,32.084827,35.029208999999994,58.791722,36.78746671303294,17.625999999999998,9.82467696434332,84.65
baseline,7,2027Q3,India,8.0,29.29497227173504,46.84837303298318,19.52428474641568,17.597724673269386,55.98646143635462,18.771287,51.527429000000005,19.67744,19.32661730130625,6.296235736564467,58.83
baseline,7,2027Q3,Israel,9.0,28.08700088688402,39.58832835228917,19.510446167219726,23.777405812379747,39.92749335467605,30.116510999999996,57.058828,20.810449000000002,17.832617737722046,18.259197353700415,43.91
baseline,7,2027Q3,France,10.0,26.795045494623324,31.81229328586667,22.161568081373407,26.28965718017006,23.834751999999998,37.703493,65.93375,28.64021750771844,13.8,8.4981694331804,91.2
baseline,7,2027Q3,UAE,11.0,26.067688082427495,39.495431421332285,8.509605160060577,32.67297561906934,34.7262235203567,50.14824,45.262485999999996,7.100418,10.328350642773199,19.32270831465881,81.38
baseline,7,2027Q3,Japan,12.0,23.413635570532367,20.817005085618014,25.413716458529855,24.300983764030494,10.3205510517376,40.800648,40.613047,20.311903,31.99829262011279,11.2379684330316,71.96
baseline,7,2027Q3,Spain,13.0,22.60928965561621,32.182436782399996,11.591856003905939,24.99823480159947,28.328127999999992,30.508564999999997,57.942934,15.396074958243172,6.6819999999999995,6.830849418203677,91.28
baseline,8,2027Q4,United States of America,1.0,76.83627061786882,73.72280236693332,75.37941949424648,83.83034485563238,72.61859899999999,79.28400599999999,68.707888,77.199435,73.03044479920749,85.5956,77.39
baseline,8,2027Q4,China,2.0,50.723877034079756,33.8013536816,71.7076209508169,44.17405603902229,17.608435999999998,63.96388299999999,65.70797,78.46717082347678,62.97379693482735,30.2786392745885,94.87
baseline,8,2027Q4,South Korea,3.0,38.24967951439524,31.651766964256748,51.971689716358135,27.165908490142282,22.381581983698204,48.873993999999996,50.010816000000005,25.094224,86.66067265904147,10.628740402725324,87.5
baseline,8,2027Q4,Singapore,4.0,33.5712648016119,52.09548511178251,18.831524811044908,28.056367680338465,56.677072799342206,42.13708899999999,45.990356,20.415143,16.78765263484667,13.86830472847269,79.82
baseline,8,2027Q4,United Kingdom,5.0,32.98124626599178,37.38945935893333,30.438268619593146,30.181288082443295,35.37574299999999,31.680918,60.76709700000001,41.512100344980155,16.146,15.753371707112985,82.82
baseline,8,2027Q4,Canada,6.0,32.86445341959999,44.856085317333324,23.13710140226853,29.57359204554697,41.94014599999999,40.92203799999999,69.81874599999999,28.821981,15.8,10.270188000000001,100.0
baseline,8,2027Q4,Germany,7.0,30.639734646454293,35.78758321866667,28.466749494760396,26.141399284997384,32.084827,35.029208999999994,58.791722,36.86630025029807,17.625999999999998,10.104585928398222,84.65
baseline,8,2027Q4,India,8.0,29.371202118525712,46.8842305536412,19.58258931957807,17.764582998137445,56.04121131520948,18.771287,51.527429000000005,19.67744,19.460171764664928,6.508828804362684,58.83
baseline,8,2027Q4,Israel,9.0,28.158650118190803,39.63041655121245,19.571196260517652,23.91221348902237,39.991756687722585,30.116510999999996,57.058828,20.810449000000002,17.971773993729556,18.430954906479798,43.91
baseline,8,2027Q4,France,10.0,26.86931249977026,31.81229328586667,22.21315825252947,26.512557880199346,23.834751999999998,37.703493,65.93375,28.731780400439717,13.8,8.782165713684034,91.2
baseline,8,2027Q4,UAE,11.0,26.150478441560903,39.55921233922115,8.580837258629089,32.80485177187857,34.82360887951112,50.14824,45.262485999999996,7.100418,10.49151734106518,19.490730832668085,81.38
baseline,8,2027Q4,Japan,12.0,23.492653437125764,20.872576708168957,25.468976780764905,24.454172185620692,10.405401859785655,40.800648,40.613047,20.311903,32.124873817449995,11.433144769140565,71.96
baseline,8,2027Q4,Spain,13.0,22.686383571346862,32.182436782399996,11.648209196768306,25.225314063325076,28.328127999999992,30.508564999999997,57.942934,15.496091322541506,6.6819999999999995,7.120169576018839,91.28
baseline,9,2028Q1,United States of America,1.0,76.86002484995007,73.72280236693332,75.44207903547897,83.83034485563238,72.61859899999999,79.28400599999999,68.707888,77.199435,73.17397490241737,85.5956,77.39
baseline,9,2028Q1,China,2.0,50.82527661640901,33.8013536816,71.82394840738795,44.40620919141675,17.608435999999998,63.96388299999999,65.70797,78.5695048397107,63.106888857935246,30.574424042328392,94.87
baseline,9,2028Q1,South Korea,3.0,38.31571802264531,31.70757420969648,51.99081140566166,27.321194675324072,22.466792557964904,48.873993999999996,50.010816000000005,25.094224,86.7044734591319,10.82658948529632,87.5
baseline,9,2028Q1,Singapore,4.0,33.646359149521544,52.135071295009254,18.89662260605845,28.20253377597946,56.73751587226576,42.13708899999999,45.990356,20.415143,16.936767886143553,14.05453396639041,79.82
baseline,9,2028Q1,United Kingdom,5.0,33.04824728660986,37.38945935893333,30.482093194156924,30.386553390167574,35.37574299999999,31.680918,60.76709700000001,41.5898807579817,16.146,16.01489885306843,82.82
baseline,9,2028Q1,Canada,6.0,32.86445341959999,44.856085317333324,23.13710140226853,29.57359204554697,41.94014599999999,40.92203799999999,69.81874599999999,28.821981,15.8,10.270188000000001,100.0
baseline,9,2028Q1,Germany,7.0,30.710291931308756,35.78758321866667,28.51102956883933,26.360377262664194,32.084827,35.029208999999994,58.791722,36.944889089639474,17.625999999999998,10.383584294762308,84.65
baseline,9,2028Q1,India,8.0,29.447185038931075,46.919970438299714,19.64070244478448,17.930894664356597,56.095781578837105,18.771287,51.527429000000005,19.67744,19.593287690741967,6.720725378058482,58.83
baseline,9,2028Q1,Israel,9.0,28.230065162584808,39.67236667345734,19.631746875789126,24.04658002416292,40.05580919522192,30.116510999999996,57.058828,20.810449000000002,18.110473318499437,18.60215040384281,43.91
baseline,9,2028Q1,France,10.0,26.943339100442646,31.81229328586667,22.264588288694718,26.734777505208598,23.834751999999998,37.703493,65.93375,28.823059083540112,13.8,9.0652942410922,91.2
baseline,9,2028Q1,UAE,11.0,26.233002006947018,39.62278401419843,8.651835460627723,32.936294679197616,34.92067475132089,50.14824,45.262485999999996,7.100418,10.654148267818542,19.658201355516546,81.38
baseline,9,2028Q1,Japan,12.0,23.57141318583297,20.92796601963863,25.524055651097214,24.60685818355639,10.48997430197266,40.800648,40.613047,20.311903,32.25103937480938,11.627680970655526,71.96
baseline,9,2028Q1,Spain,13.0,22.76323788956399,32.182436782399996,11.704387470303613,25.451689994946783,28.328127999999992,30.508564999999997,57.942934,15.59579723779073,6.6819999999999995,7.408593625686082,91.28
baseline,10,2028Q2,United States of America,1.0,76.8836526636548,73.72280236693332,75.50440510697655,83.83034485563238,72.61859899999999,79.28400599999999,68.707888,77.199435,73.31674114836744,85.5956,77.39
baseline,10,2028Q2,China,2.0,50.92611800372711,33.8013536816,71.93964603094182,44.63710708173572,17.608435999999998,63.96388299999999,65.70797,78.67125920280031,63.239272475054236,30.868609489113027,94.87
baseline,10,2028Q2,South Korea,3.0,38.381539275988985,31.763198371058564,52.00987030729462,27.47597054539733,22.551723586103265,48.873993999999996,50.010816000000005,25.094224,86.74813043562168,11.02378837882489,87.5
baseline,10,2028Q2,Singapore,4.0,33.721207262790784,52.174527609797096,18.961506647002317,28.348219626696746,56.79776065258108,42.13708899999999,45.990356,20.415143,17.085393505006518,14.240151327485648,79.82
baseline,10,2028Q2,United Kingdom,5.0,33.1150411755102,37.38945935893333,30.525781738006174,30.591180450084863,35.37574299999999,31.680918,60.76709700000001,41.667419741938865,16.146,16.275612811792065,82.82
baseline,10,2028Q2,Canada,6.0,32.86445341959999,44.856085317333324,23.13710140226853,29.57359204554697,41.94014599999999,40.92203799999999,69.81874599999999,28.821981,15.8,10.270188000000001,100.0
baseline,10,2028Q2,Germany,7.0,30.780635883842475,35.78758321866667,28.555172198341182,26.578652729448823,32.084827,35.029208999999994,58.791722,37.023233990595244,17.625999999999998,10.661687596743345,84.65
baseline,10,2028Q2,India,8.0,29.522922261158634,46.955593072881356,19.69862475067033,18.096661465929174,56.15017281649229,18.771287,51.527429000000005,19.67744,19.72596651951131,6.931927743378157,58.83
baseline,10,2028Q2,Israel,9.0,28.30124874564514,39.7141791720052,19.692098668036984,24.180506862911155,40.11965156881902,30.116510999999996,57.058828,20.810449000000002,18.24871721240374,18.77278568699406,43.91
baseline,10,2028Q2,France,10.0,27.017144362283734,31.81229328586667,22.31585868692536,26.95629959471256,23.834751999999998,37.703493,65.93375,28.914054439201337,13.8,9.347534043211494,91.2
baseline,10,2028Q2,UAE,11.0,26.31525547660953,39.686147132717025,8.722600534075477,33.06730576434413,35.01742218391239,50.14824,45.262485999999996,7.100418,10.816245182284066,19.825121696643627,81.38
baseline,10,2028Q2,Japan,12.0,23.649915661352853,20.983173618126017,25.578953665339327,24.759043407658694,10.574269291519764,40.800648,40.613047,20.311903,32.376790656979686,11.821579139602449,71.96
baseline,10,2028Q2,Spain,13.0,22.839845743481767,32.182436782399996,11.760391367458396,25.67734186027122,28.328127999999992,30.508564999999997,57.942934,15.69519366761928,6.6819999999999995,7.696095147361102,91.28
baseline,11,2028Q3,United States of America,1.0,76.90715473177286,73.72280236693332,75.56639948344204,83.83034485563238,72.61859899999999,79.28400599999999,68.707888,77.199435,73.45874760225303,85.5956,77.39
baseline,11,2028Q3,China,2.0,51.02641355979839,33.8013536816,72.05470343604176,44.86676323647515,17.608435999999998,63.96388299999999,65.70797,78.77246029195453,63.370951555739694,31.161212848959792,94.87
baseline,11,2028Q3,South Korea,3.0,38.44714474036003,31.818640048977898,52.0288666274256,27.630238410928435,22.636375985206477,48.873993999999996,50.010816000000005,25.094224,86.79164406076762,11.220340027188092,87.5
baseline,11,2028Q3,Singapore,4.0,33.79580995311892,52.21385448219904,19.02617763575593,28.49342790115363,56.85780779081695,42.13708899999999,45.990356,20.415143,17.23353109918473,14.425160211884343,79.82
baseline,11,2028Q3,United Kingdom,5.0,33.18162359171606,37.38945935893333,30.56933467337785,30.795126365924403,35.37574299999999,31.680918,60.76709700000001,41.74471804624318,16.146,16.535458929434256,82.82
baseline,11,2028Q3,Canada,6.0,32.86445341959999,44.856085317333324,23.13710140226853,29.57359204554697,41.94014599999999,40.92203799999999,69.81874599999999,28.821981,15.8,10.270188000000001,100.0
baseline,11,2028Q3,Germany,7.0,30.85075730926149,35.78758321866667,28.599177809891522,26.79623649450148,32.084827,35.029208999999994,58.791722,37.101335710345865,17.625999999999998,10.938909606206803,84.65
baseline,11,2028Q3,India,8.0,29.598406196565037,46.99109884204266,19.756356863806865,18.261879705257954,56.20438561549672,18.771287,51.527429000000005,19.67744,19.858209686218622,7.1424311892379855,58.83
baseline,11,2028Q3,Israel,9.0,28.372199560491623,39.7558544983513,19.75225229011329,24.313995445637733,40.183284497889815,30.116510999999996,57.058828,20.810449000000002,18.386507170887903,18.942862591100095,43.91
baseline,11,2028Q3,France,10.0,27.09072085432947,31.81229328586667,22.366969942734766,27.177126361337137,23.834751999999998,37.703493,65.93375,29.004767346866807,13.8,9.628887939133687,91.2
baseline,11,2028Q3,UAE,11.0,26.397238895382873,39.7493023789778,8.793133244469505,33.19788644595978,35.11385222197344,50.14824,45.262485999999996,7.100418,10.977809837935887,19.991493663531152,81.38
