scenario,quarter_index,quarter,country,composite_score_p10,composite_score_median,composite_score_p90,rank_p10,rank_median,rank_p90,implementation_score_median,innovation_score_median,investment_score_median,talent_score_median,infrastructure_score_median,operating_environment_score_median,research_score_median,development_score_median,commercial_ecosystem_score_median,government_strategy_score_median
baseline,3,2026Q3,Japan,23.083746217491342,23.094971156752127,23.105467401916297,12.0,12.0,12.0,20.592883453584513,25.190848665475922,23.68317359867426,9.978345791100125,40.800648,40.613047,20.311903,31.487783977534267,10.450820662766844,71.96
baseline,3,2026Q3,Singapore,33.18137793833836,33.192073711950215,33.20199828933337,4.0,4.0,4.0,51.89559115878901,18.502804796866183,27.31829682050712,56.37186012681548,42.13708899999999,45.990356,20.415143,16.03467524889408,12.92793361742332,79.82
baseline,3,2026Q3,South Korea,37.90597271886842,37.91621583705103,37.9255569285967,3.0,3.0,3.0,31.369963314919488,51.875132191212025,26.38178854964157,21.951303610320874,48.873993999999996,50.010816000000005,25.094224,86.43949466639562,9.629698468170265,87.5
baseline,3,2026Q3,Spain,22.284075204558583,22.29851487355986,22.312978447632226,13.0,13.0,13.0,32.182436782399996,11.364683120975382,24.08280247271251,28.328127999999992,30.508564999999997,57.942934,14.992885632779812,6.6819999999999995,5.664503254093296,91.28
baseline,3,2026Q3,UAE,25.721329876642418,25.73377654684241,25.745473574071287,11.0,11.0,11.0,39.238201512366686,8.222322350976711,32.14110992205513,34.333466126781374,50.14824,45.262485999999996,7.100418,9.670290745953295,18.645061812608063,81.38
baseline,3,2026Q3,United Kingdom,32.63066839108205,32.643043009583536,32.65523690834914,6.0,6.0,6.0,37.38945935893333,30.21709041550407,29.145338798685422,35.37574299999999,31.680918,60.76709700000001,41.1195504518614,16.146,14.433475702573814,82.82
baseline,3,2026Q3,United States of America,76.70856447528554,76.7155793811105,76.72496028166823,1.0,1.0,1.0,73.72280236693332,75.06105695993276,83.83034485563238,72.61859899999999,79.28400599999999,68.707888,77.199435,72.30119261335656,85.5956,77.39
baseline,4,2026Q4,Canada,32.86445341959999,32.86445341959999,32.86445341959999,5.0,5.0,5.0,44.856085317333324,23.13710140226853,29.57359204554697,41.94014599999999,40.92203799999999,69.81874599999999,28.821981,15.8,10.270188000000001,100.0
baseline,4,2026Q4,China,50.29021658659519,50.31274447231957,50.33808366068199,2.0,2.0,2.0,33.8013536816,71.23596107232478,43.23286078107202,17.608435999999998,63.96388299999999,65.70797,78.05229200562012,62.43427008322635,29.079468736091247,94.87
baseline,4,2026Q4,France,26.550321304709726,26.570839883459396,26.591347039323335,10.0,10.0,10.0,31.81229328586667,22.005831764154337,25.616680605078685,23.834751999999998,37.703493,65.93375,28.363814708758937,13.8,7.640734511859321,91.2
baseline,4,2026Q4,Germany,30.33539936193119,30.35525960729569,30.375053511241163,7.0,7.0,7.0,35.78758321866667,28.288246173582877,25.25846307458402,32.084827,35.029208999999994,58.791722,36.54949028279621,17.625999999999998,8.979642849949279,84.65
baseline,4,2026Q4,India,29.04853083875838,29.064770064634295,29.079720689635927,8.0,8.0,8.0,46.74009077670715,19.348216021732824,17.093861058891285,55.82112818674747,18.771287,51.527429000000005,19.67744,18.923308216549323,5.654266499385321,58.83
baseline,4,2026Q4,Israel,27.855750130084804,27.87063849505582,27.88436012525681,9.0,9.0,9.0,39.461230743241615,19.326992436728652,23.370324938881208,39.733431451610784,30.116510999999996,57.058828,20.810449000000002,17.41239230431318,17.740538354771445,43.91
baseline,4,2026Q4,Japan,23.15824730236602,23.17503233072179,23.190722739140487,12.0,12.0,12.0,20.6491903409198,25.24684079280137,23.838388001528877,10.06431925506891,40.800648,40.613047,20.311903,31.616041472815695,10.6485782879583,71.96
baseline,4,2026Q4,Singapore,33.252420208267736,33.26841331926828,33.28324684674522,4.0,4.0,4.0,51.9358331242484,18.568981971616005,27.466880411012024,56.43330449590046,42.13708899999999,45.990356,20.415143,16.186262964589893,13.11724296926351,79.82
baseline,4,2026Q4,South Korea,37.96802934400664,37.983345324227564,37.99731032928297,3.0,3.0,3.0,31.42669505969282,51.89457093524764,26.539643215751987,22.03792577762543,48.873993999999996,50.010816000000005,25.094224,86.48402172297509,9.830820034991781,87.5
baseline,4,2026Q4,Spain,22.354979540186527,22.376576202296704,22.398204925495037,13.0,13.0,13.0,32.182436782399996,11.42174145450132,24.31273230513929,28.328127999999992,30.508564999999997,57.942934,15.09415348970716,6.6819999999999995,5.9574553048380885,91.28
baseline,4,2026Q4,UAE,25.799058834274014,25.817669002152556,25.835156661067156,11.0,11.0,11.0,39.30282631173111,8.294497766743236,32.27473338406094,34.43213998574579,50.14824,45.262485999999996,7.100418,9.835618239107918,18.81531056549526,81.38
baseline,4,2026Q4,United Kingdom,32.692600984104125,32.71111551264738,32.72934658094416,6.0,6.0,6.0,37.38945935893333,30.261601523352926,29.353819963893933,35.37574299999999,31.680918,60.76709700000001,41.198549332879665,16.146,14.699100150888695,82.82
baseline,4,2026Q4,United States of America,76.7295055610942,76.7399759235875,76.75396522471858,1.0,1.0,1.0,73.72280236693332,75.12541080450413,83.83034485563238,72.61859899999999,79.28400599999999,68.707888,77.199435,72.44860374614811,85.5956,77.39
baseline,5,2027Q1,Canada,32.86445341959999,32.86445341959999,32.86445341959999,5.0,5.0,5.0,44.856085317333324,23.13710140226853,29.57359204554697,41.94014599999999,40.92203799999999,69.81874599999999,28.821981,15.8,10.270188000000001,100.0
baseline,5,2027Q1,China,50.386494390713764,50.41637553212745,50.44997145610168,2.0,2.0,2.0,33.8013536816,71.35484115526421,43.4700516229356,17.608435999999998,63.96388299999999,65.70797,78.15685788214964,62.570233330838704,29.38167199005111,94.87
baseline,5,2027Q1,France,26.61853248477607,26.645810174815225,26.67306888598867,10.0,10.0,10.0,31.81229328586667,22.057905338120843,25.84172257181523,23.834751999999998,37.703493,65.93375,28.45623555094388,13.8,7.927458965851631,91.2
baseline,5,2027Q1,Germany,30.400310675115293,30.42671213855531,30.45301941179256,7.0,7.0,7.0,35.78758321866667,28.33308031885517,25.48023222598074,32.084827,35.029208999999994,58.791722,36.629062494747174,17.625999999999998,9.262197431961987,84.65
baseline,5,2027Q1,India,29.120174716371032,29.141758786243912,29.161629730792566,8.0,8.0,8.0,46.77630353362275,19.40709873131958,17.262372239035614,55.876420466239956,18.771287,51.527429000000005,19.67744,19.058186979113305,5.868965458957812,58.83
baseline,5,2027Q1,Israel,27.923210690654514,27.9429984184208,27.961232249644723,9.0,9.0,9.0,39.50373590502234,19.388344915736894,23.506461230359967,39.798331433971406,30.116510999999996,57.058828,20.810449000000002,17.552928405775564,17.91398868676433,43.91
baseline,5,2027Q1,Japan,23.23252157578543,23.254831073019776,23.27567908839175,12.0,12.0,12.0,20.70531250502691,25.302649065280683,23.993093023376538,10.150010670134733,40.800648,40.613047,20.311903,31.743877823854422,10.845686914239852,71.96
baseline,5,2027Q1,Singapore,33.32324591461734,33.34450093064444,33.36420986884911,4.0,4.0,4.0,51.975943069876465,18.63494184806226,27.614977703139093,56.49454728747426,42.13708899999999,45.990356,20.415143,16.33735292930757,13.30593273161608,79.82
baseline,5,2027Q1,South Korea,38.02989831280031,38.05025531624296,38.06881301305422,3.0,3.0,3.0,31.483240687429124,51.91394585053689,26.696980600305608,22.124263767857983,48.873993999999996,50.010816000000005,25.094224,86.52840257122979,10.031282536866055,87.5
baseline,5,2027Q1,Spain,22.42568000395847,22.45438990501468,22.483141734587647,13.0,13.0,13.0,32.182436782399996,11.478622679955876,24.541946147963312,28.328127999999992,30.508564999999997,57.942934,15.195107012974127,6.6819999999999995,6.249495118052738,91.28
baseline,5,2027Q1,UAE,25.87655253943232,25.90128430482461,25.924526527901406,11.0,11.0,11.0,39.36723909970361,8.366436188478746,32.40791786023752,34.53049013024777,50.14824,45.262485999999996,7.100418,10.000402865572763,18.98500000949433,81.38
baseline,5,2027Q1,United Kingdom,32.75435061361557,32.77897312418137,32.8032054088578,6.0,6.0,6.0,37.38945935893333,30.30597446949991,29.561653431860513,35.37574299999999,31.680918,60.76709700000001,41.27730300275008,16.146,14.963899372510367,82.82
baseline,5,2027Q1,United States of America,76.75035113109509,76.76424262935659,76.78278627078495,1.0,1.0,1.0,73.72280236693332,75.18942216237565,83.83034485563238,72.61859899999999,79.28400599999999,68.707888,77.199435,72.59523036710942,85.5956,77.39
baseline,6,2027Q2,Canada,32.86445341959999,32.86445341959999,32.86445341959999,5.0,5.0,6.0,44.856085317333324,23.13710140226853,29.57359204554697,41.94014599999999,40.92203799999999,69.81874599999999,28.821981,15.8,10.270188000000001,100.0
baseline,6,2027Q2,China,50.48228385204603,50.51943898496608,50.561208001621914,2.0,2.0,2.0,33.8013536816,71.4730771710893,43.70598176018501,17.608435999999998,63.96388299999999,65.70797,78.26085987170649,62.705472991472185,29.68226898875386,94.87
baseline,6,2027Q2,France,26.68654841193071,26.72054483313534,26.754513817931453,10.0,10.0,10.0,31.81229328586667,22.10981727662265,26.06605016349777,23.834751999999998,37.703493,65.93375,28.548369520447785,13.8,8.213273239399491,91.2
baseline,6,2027Q2,Germany,30.465038405642634,30.497939763119945,30.53071845056036,7.0,7.0,7.0,35.78758321866667,28.37777529972307,25.701312689508473,32.084827,35.029208999999994,58.791722,36.708387715941086,17.625999999999998,9.543874561399655,84.65
baseline,6,2027Q2,India,29.191599040986482,29.218492879651834,29.24325196868735,8.0,8.0,8.0,46.8123974891328,19.46578809459092,17.430321273191232,55.93153135107817,18.771287,51.527429000000005,19.67744,19.192622855948134,6.082948192112559,58.83
baseline,6,2027Q2,Israel,27.99046551719652,28.01511664425007,28.037836703729212,9.0,9.0,9.0,39.54610162221519,19.449495938734685,23.642155544370564,39.86301850216083,30.116510999999996,57.058828,20.810449000000002,17.693003045162044,18.08687589824208,43.91
baseline,6,2027Q2,Japan,23.306569634101873,23.334363424690295,23.36033261172117,12.0,12.0,12.0,20.761250551918227,25.35827408661668,24.14729126352315,10.235420961601521,40.800648,40.613047,20.311903,31.87129441351289,11.042149853369652,71.96
baseline,6,2027Q2,Singapore,33.393855720612486,33.4203374146081,33.44489196313284,4.0,4.0,4.0,52.01592142878417,18.700685139722157,27.762590288600244,56.555589162842296,42.13708899999999,45.990356,20.415143,16.487946777454198,13.49400493247047,79.82
baseline,6,2027Q2,South Korea,38.091580082774755,38.11694763268788,38.140065703444364,3.0,3.0,3.0,31.539600808713395,51.93325714666682,26.853803133326352,22.210318513304244,48.873993999999996,50.010816000000005,25.094224,86.57263769124704,10.231089069870208,87.5
baseline,6,2027Q2,Spain,22.496177680353078,22.53195797743394,22.567789862766794,13.0,13.0,13.0,32.182436782399996,11.535327347079427,24.770446237134344,28.328127999999992,30.508564999999997,57.942934,15.295747178266904,6.6819999999999995,6.540625542545779,91.28
baseline,6,2027Q2,UAE,25.953811705636173,25.98462397677796,26.01358426990821,11.0,11.0,11.0,39.43144057181949,8.43813839437302,32.540664792760936,34.62851762228139,50.14824,45.262485999999996,7.100418,10.164646407896138,19.154131982072087,81.38
baseline,6,2027Q2,United Kingdom,32.81591912330971,32.8466094852465,32.87681395326881,5.0,6.0,6.0,37.38945935893333,30.350209682796535,29.768842416450795,35.37574299999999,31.680918,60.76709700000001,41.35581222260378,16.146,15.22787746220337,82.82
baseline,6,2027Q2,United States of America,76.77110162095182,76.78838018939973,76.81142458581,1.0,1.0,1.0,73.72280236693332,75.25309285623783,83.83034485563238,72.61859899999999,79.28400599999999,68.707888,77.199435,72.74107665135807,85.5956,77.39
baseline,7,2027Q3,Canada,32.86445341959999,32.86445341959999,32.86445341959999,6.0,6.0,6.0,44.856085317333324,23.13710140226853,29.57359204554697,41.94014599999999,40.92203799999999,69.81874599999999,28.821981,15.8,10.270188000000001,100.0
baseline,7,2027Q3,China,50.57759288253456,50.62193816277107,50.67179507215166,2.0,2.0,2.0,33.8013536816,71.59066799745986,43.940648906184904,17.608435999999998,63.96388299999999,65.70797,78.36429551457888,62.83999291600652,29.98125681881279,94.87
baseline,7,2027Q3,France,26.754369652339275,26.795045494623324,26.83568277538952,10.0,10.0,10.0,31.81229328586667,22.161568081373407,26.28965718017006,23.834751999999998,37.703493,65.93375,28.64021750771844,13.8,8.4981694331804,91.2
baseline,7,2027Q3,Germany,30.529583248407118,30.568948011044558,30.608151550532835,7.0,7.0,7.0,35.78758321866667,28.422331548150453,25.921706604791627,32.084827,35.029208999999994,58.791722,36.78746671303294,17.625999999999998,9.82467696434332,84.65
baseline,7,2027Q3,India,29.262804493396278,29.29497227173504,29.324588087624118,8.0,8.0,8.0,46.84837303298318,19.52428474641568,17.597724673269386,55.98646143635462,18.771287,51.527429000000005,19.67744,19.32661730130625,6.296235736564467,58.83
baseline,7,2027Q3,Israel,28.057514939725323,28.08700088688402,28.114173927380072,9.0,9.0,9.0,39.58832835228917,19.510446167219726,23.777405812379747,39.92749335467605,30.116510999999996,57.058828,20.810449000000002,17.832617737722046,18.259197353700415,43.91
baseline,7,2027Q3,Japan,23.38039216916374,23.413635570532367,23.4446954598661,12.0,12.0,12.0,20.817005085618014,25.413716458529855,24.300983764030494,10.3205510517376,40.800648,40.613047,20.311903,31.99829262011279,11.2379684330316,71.96
baseline,7,2027Q3,Singapore,33.46425028743827,33.49592417376917,33.52529476897609,4.0,4.0,4.0,52.05576863266158,18.76621255777,27.909719753897186,56.61643078114045,42.13708899999999,45.990356,20.415143,16.638046138070134,13.681461593177813,79.82
baseline,7,2027Q3,South Korea,38.15307522063432,38.18342212796927,38.21106927652278,3.0,3.0,3.0,31.595776032127496,51.95250503253626,27.010111868788123,22.29609094319141,48.873993999999996,50.010816000000005,25.094224,86.61672756153772,10.430240976865285,87.5
baseline,7,2027Q3,Spain,22.566473392468744,22.60928965561621,22.652150294509358,13.0,13.0,13.0,32.182436782399996,11.591856003905939,24.99823480159947,28.328127999999992,30.508564999999997,57.942934,15.396074958243172,6.6819999999999995,6.830849418203677,91.28
baseline,7,2027Q3,UAE,26.030837826936988,26.067688082427495,26.10233097858636,11.0,11.0,11.0,39.495431421332285,8.509605160060577,32.67297561906934,34.7262235203567,50.14824,45.262485999999996,7.100418,10.328350642773199,19.32270831465881,81.38
baseline,7,2027Q3,United Kingdom,32.877321533968484,32.914033184198516,32.950173065022575,5.0,5.0,5.0,37.38945935893333,30.394307590763162,29.975386462589093,35.37574299999999,31.680918,60.76709700000001,41.434077751209344,16.146,15.491033840158849,82.82
baseline,7,2027Q3,United States of America,76.79175746434089,76.81238929102153,76.83988132834406,1.0,1.0,1.0,73.72280236693332,75.31642469908088,83.83034485563238,72.61859899999999,79.28400599999999,68.707888,77.199435,72.88614675179193,85.5956,77.39
baseline,8,2027Q4,Canada,32.86445341959999,32.86445341959999,32.86445341959999,6.0,6.0,6.0,44.856085317333324,23.13710140226853,29.57359204554697,41.94014599999999,40.92203799999999,69.81874599999999,28.821981,15.8,10.270188000000001,100.0
baseline,8,2027Q4,China,50.67242416543513,50.723877034079756,50.78173648224825,2.0,2.0,2.0,33.8013536816,71.7076209508169,44.17405603902229,17.608435999999998,63.96388299999999,65.70797,78.46717082347678,62.97379693482735,30.2786392745885,94.87
baseline,8,2027Q4,France,26.82198932025789,26.86931249977026,26.916576695401787,10.0,10.0,10.0,31.81229328586667,22.21315825252947,26.512557880199346,23.834751999999998,37.703493,65.93375,28.731780400439717,13.8,8.782165713684034,91.2
baseline,8,2027Q4,Germany,30.59394473613134,30.639734646454293,30.68531963147404,7.0,7.0,7.0,35.78758321866667,28.466749494760396,26.141399284997384,32.084827,35.029208999999994,58.791722,36.86630025029807,17.625999999999998,10.104585928398222,84.65
baseline,8,2027Q4,India,29.333792043889147,29.371202118525712,29.40564012956173,8.0,8.0,8.0,46.8842305536412,19.58258931957807,17.764582998137445,56.04121131520948,18.771287,51.527429000000005,19.67744,19.460171764664928,6.508828804362684,58.83
baseline,8,2027Q4,Israel,28.124359573933255,28.158650118190803,28.190244934339905,9.0,9.0,9.0,39.63041655121245,19.571196260517652,23.91221348902237,39.991756687722585,30.116510999999996,57.058828,20.810449000000002,17.971773993729556,18.430954906479798,43.91
baseline,8,2027Q4,Japan,23.45398520052037,23.492653437125764,23.528764107548525,12.0,12.0,12.0,20.872576708168957,25.468976780764905,24.454172185620692,10.405401859785655,40.800648,40.613047,20.311903,32.124873817449995,11.433144769140565,71.96
baseline,8,2027Q4,Singapore,33.53443027424589,33.5712648016119,33.60540696595053,4.0,4.0,4.0,52.09548511178251,18.831524811044908,28.056367680338465,56.677072799342206,42.13708899999999,45.990356,20.415143,16.78765263484667,13.86830472847269,79.82
baseline,8,2027Q4,South Korea,38.214384293394055,38.24967951439524,38.28182460528147,3.0,3.0,3.0,31.651766964256748,51.971689716358135,27.165908490142282,22.381581983698204,48.873993999999996,50.010816000000005,25.094224,86.66067265904147,10.628740402725324,87.5
baseline,8,2027Q4,Spain,22.63656742267123,22.686383571346862,22.73622401092398,13.0,13.0,13.0,32.182436782399996,11.648209196768306,25.225314063325076,28.328127999999992,30.508564999999997,57.942934,15.496091322541506,6.6819999999999995,7.120169576018839,91.28
baseline,8,2027Q4,UAE,26.107631374516878,26.150478441560903,26.190767741612667,11.0,11.0,11.0,39.55921233922115,8.580837258629089,32.80485177187857,34.82360887951112,50.14824,45.262485999999996,7.100418,10.49151734106518,19.490730832668085,81.38
baseline,8,2027Q4,United Kingdom,32.93855466502112,32.98124626599178,33.023283592062874,5.0,5.0,5.0,37.38945935893333,30.438268619593146,30.181288082443295,35.37574299999999,31.680918,60.76709700000001,41.512100344980155,16.146,15.753371707112985,82.82
baseline,8,2027Q4,United States of America,76.81231909296076,76.83627061786882,76.8681576495921,1.0,1.0,1.0,73.72280236693332,75.37941949424648,83.83034485563238,72.61859899999999,79.28400599999999,68.707888,77.199435,73.03044479920749,85.5956,77.39
baseline,9,2028Q1,Canada,32.86445341959999,32.86445341959999,32.86445341959999,6.0,6.0,6.0,44.856085317333324,23.13710140226853,29.57359204554697,41.94014599999999,40.92203799999999,69.81874599999999,28.821981,15.8,10.270188000000001,100.0
baseline,9,2028Q1,China,50.76678374414572,50.82527661640901,50.89103602393731,2.0,2.0,2.0,33.8013536816,71.82394840738795,44.40620919141675,17.608435999999998,63.96388299999999,65.70797,78.5695048397107,63.106888857935246,30.574424042328392,94.87
baseline,9,2028Q1,France,26.889413187792055,26.943339100442646,26.99719651181915,10.0,10.0,10.0,31.81229328586667,22.264588288694718,26.734777505208598,23.834751999999998,37.703493,65.93375,28.823059083540112,13.8,9.0652942410922,91.2
baseline,9,2028Q1,Germany,30.658114814984906,30.710291931308756,30.762223609935237,7.0,7.0,7.0,35.78758321866667,28.51102956883933,26.360377262664194,32.084827,35.029208999999994,58.791722,36.944889089639474,17.625999999999998,10.383584294762308,84.65
baseline,9,2028Q1,India,29.404568646049746,29.447185038931075,29.486409092300775,8.0,8.0,8.0,46.919970438299714,19.64070244478448,17.930894664356597,56.095781578837105,18.771287,51.527429000000005,19.67744,19.593287690741967,6.720725378058482,58.83
baseline,9,2028Q1,Israel,28.191000048516646,28.230065162584808,28.266050657886392,9.0,9.0,9.0,39.67236667345734,19.631746875789126,24.04658002416292,40.05580919522192,30.116510999999996,57.058828,20.810449000000002,18.110473318499437,18.60215040384281,43.91
baseline,9,2028Q1,Japan,23.527351140455114,23.57141318583297,23.612539176878556,12.0,12.0,12.0,20.92796601963863,25.524055651097214,24.60685818355639,10.48997430197266,40.800648,40.613047,20.311903,32.25103937480938,11.627680970655526,71.96
baseline,9,2028Q1,Singapore,33.604396338158935,33.646359149521544,33.68523707748588,4.0,4.0,4.0,52.135071295009254,18.89662260605845,28.20253377597946,56.73751587226576,42.13708899999999,45.990356,20.415143,16.936767886143553,14.05453396639041,79.82
baseline,9,2028Q1,South Korea,38.275507866338835,38.31571802264531,38.35233255964593,3.0,3.0,3.0,31.70757420969648,51.99081140566166,27.321194675324072,22.466792557964904,48.873993999999996,50.010816000000005,25.094224,86.7044734591319,10.82658948529632,87.5
