scenario,quarter_index,quarter,kpi_order,pillar,subpillar,kpi,kpi_score_p10,kpi_score_median,kpi_score_p90
baseline,3,2026Q3,2,Implementation,Talent,Relative AI Skill Penetration,38.99,38.99,38.99
baseline,3,2026Q3,3,Implementation,Talent,AI Hiring Rate YoY Ratio,73.73,73.73,73.73
baseline,3,2026Q3,4,Implementation,Talent,AI Talent Concentration,35.58,35.58,35.58
baseline,3,2026Q3,5,Implementation,Talent,AI Job Postings (% of Total),27.63,27.63,27.63
baseline,3,2026Q3,6,Implementation,Talent,Net Migration Flow of AI Skills,48.96,48.96,48.96
baseline,3,2026Q3,7,Implementation,Infrastructure,Tortoise Infrastructure Score,77.05,77.05,77.05
baseline,3,2026Q3,8,Implementation,Infrastructure,Compute Hardware Index,3.61,3.61,3.61
baseline,3,2026Q3,9,Implementation,Infrastructure,Parts Semiconductor Devices Exports,0.29,0.29,0.29
baseline,3,2026Q3,10,Implementation,Infrastructure,Internet Speed,7.61,7.61,7.61
baseline,3,2026Q3,11,Implementation,Infrastructure,Energy Resilience Score,86.16,86.16,86.16
baseline,3,2026Q3,12,Implementation,Operating Environment,Tortoise Operating Environment Score,93.94,93.94,93.94
baseline,3,2026Q3,13,Implementation,Operating Environment,AI Social Media Sentiment,15.56,15.56,15.56
baseline,3,2026Q3,14,Implementation,Operating Environment,Conference Submissions on RAI Topics,8.3,8.3,8.3
baseline,3,2026Q3,15,Implementation,Operating Environment,Open Data Score,92.86,92.86,92.86
baseline,3,2026Q3,16,Innovation,Research,Tortoise Research Score,30.67,30.67,30.67
baseline,3,2026Q3,17,Innovation,Research,AI Publications (Total),34.73,34.73,34.73
baseline,3,2026Q3,18,Innovation,Research,AI Citations (% of World Total),10.72,10.72,10.72
baseline,3,2026Q3,19,Innovation,Research,Notable AI Models,2.5,2.5,2.5
baseline,3,2026Q3,20,Innovation,Research,Academia-Industry Concentration,100.0,100.0,100.0
baseline,3,2026Q3,21,Innovation,Development,Tortoise Development Score,25.78,25.78,25.78
baseline,3,2026Q3,22,Innovation,Development,AI Patent Grants (per 100k),0.83,0.83,0.83
baseline,3,2026Q3,23,Investment,Commercial Ecosystem,Tortoise Commercial Score,14.88,14.88,14.88
baseline,3,2026Q3,24,Investment,Commercial Ecosystem,AI Investment Activity,3.16,3.16,3.16
baseline,3,2026Q3,25,Investment,Commercial Ecosystem,AI Adoption (%),8.0,8.0,8.0
baseline,3,2026Q3,26,Investment,Government Strategy,Tortoise Government Strategy Score,100.0,100.0,100.0
baseline,4,2026Q4,1,Implementation,Talent,Tortoise Talent Score,31.28,31.28,31.28
baseline,4,2026Q4,2,Implementation,Talent,Relative AI Skill Penetration,38.99,38.99,38.99
baseline,4,2026Q4,3,Implementation,Talent,AI Hiring Rate YoY Ratio,73.73,73.73,73.73
baseline,4,2026Q4,4,Implementation,Talent,AI Talent Concentration,35.58,35.58,35.58
baseline,4,2026Q4,5,Implementation,Talent,AI Job Postings (% of Total),27.63,27.63,27.63
baseline,4,2026Q4,6,Implementation,Talent,Net Migration Flow of AI Skills,48.96,48.96,48.96
baseline,4,2026Q4,7,Implementation,Infrastructure,Tortoise Infrastructure Score,77.05,77.05,77.05
baseline,4,2026Q4,8,Implementation,Infrastructure,Compute Hardware Index,3.61,3.61,3.61
baseline,4,2026Q4,9,Implementation,Infrastructure,Parts Semiconductor Devices Exports,0.29,0.29,0.29
baseline,4,2026Q4,10,Implementation,Infrastructure,Internet Speed,7.61,7.61,7.61
baseline,4,2026Q4,11,Implementation,Infrastructure,Energy Resilience Score,86.16,86.16,86.16
baseline,4,2026Q4,12,Implementation,Operating Environment,Tortoise Operating Environment Score,93.94,93.94,93.94
baseline,4,2026Q4,13,Implementation,Operating Environment,AI Social Media Sentiment,15.56,15.56,15.56
baseline,4,2026Q4,14,Implementation,Operating Environment,Conference Submissions on RAI Topics,8.3,8.3,8.3
baseline,4,2026Q4,15,Implementation,Operating Environment,Open Data Score,92.86,92.86,92.86
baseline,4,2026Q4,16,Innovation,Research,Tortoise Research Score,30.67,30.67,30.67
baseline,4,2026Q4,17,Innovation,Research,AI Publications (Total),34.73,34.73,34.73
baseline,4,2026Q4,18,Innovation,Research,AI Citations (% of World Total),10.72,10.72,10.72
baseline,4,2026Q4,19,Innovation,Research,Notable AI Models,2.5,2.5,2.5
baseline,4,2026Q4,20,Innovation,Research,Academia-Industry Concentration,100.0,100.0,100.0
baseline,4,2026Q4,21,Innovation,Development,Tortoise Development Score,25.78,25.78,25.78
baseline,4,2026Q4,22,Innovation,Development,AI Patent Grants (per 100k),0.83,0.83,0.83
baseline,4,2026Q4,23,Investment,Commercial Ecosystem,Tortoise Commercial Score,14.88,14.88,14.88
baseline,4,2026Q4,24,Investment,Commercial Ecosystem,AI Investment Activity,3.16,3.16,3.16
baseline,4,2026Q4,25,Investment,Commercial Ecosystem,AI Adoption (%),8.0,8.0,8.0
baseline,4,2026Q4,26,Investment,Government Strategy,Tortoise Government Strategy Score,100.0,100.0,100.0
baseline,5,2027Q1,1,Implementation,Talent,Tortoise Talent Score,31.28,31.28,31.28
baseline,5,2027Q1,2,Implementation,Talent,Relative AI Skill Penetration,38.99,38.99,38.99
baseline,5,2027Q1,3,Implementation,Talent,AI Hiring Rate YoY Ratio,73.73,73.73,73.73
baseline,5,2027Q1,4,Implementation,Talent,AI Talent Concentration,35.58,35.58,35.58
baseline,5,2027Q1,5,Implementation,Talent,AI Job Postings (% of Total),27.63,27.63,27.63
baseline,5,2027Q1,6,Implementation,Talent,Net Migration Flow of AI Skills,48.96,48.96,48.96
baseline,5,2027Q1,7,Implementation,Infrastructure,Tortoise Infrastructure Score,77.05,77.05,77.05
baseline,5,2027Q1,8,Implementation,Infrastructure,Compute Hardware Index,3.61,3.61,3.61
baseline,5,2027Q1,9,Implementation,Infrastructure,Parts Semiconductor Devices Exports,0.29,0.29,0.29
baseline,5,2027Q1,10,Implementation,Infrastructure,Internet Speed,7.61,7.61,7.61
baseline,5,2027Q1,11,Implementation,Infrastructure,Energy Resilience Score,86.16,86.16,86.16
baseline,5,2027Q1,12,Implementation,Operating Environment,Tortoise Operating Environment Score,93.94,93.94,93.94
baseline,5,2027Q1,13,Implementation,Operating Environment,AI Social Media Sentiment,15.56,15.56,15.56
baseline,5,2027Q1,14,Implementation,Operating Environment,Conference Submissions on RAI Topics,8.3,8.3,8.3
baseline,5,2027Q1,15,Implementation,Operating Environment,Open Data Score,92.86,92.86,92.86
baseline,5,2027Q1,16,Innovation,Research,Tortoise Research Score,30.67,30.67,30.67
baseline,5,2027Q1,17,Innovation,Research,AI Publications (Total),34.73,34.73,34.73
baseline,5,2027Q1,18,Innovation,Research,AI Citations (% of World Total),10.72,10.72,10.72
baseline,5,2027Q1,19,Innovation,Research,Notable AI Models,2.5,2.5,2.5
baseline,5,2027Q1,20,Innovation,Research,Academia-Industry Concentration,100.0,100.0,100.0
baseline,5,2027Q1,21,Innovation,Development,Tortoise Development Score,25.78,25.78,25.78
baseline,5,2027Q1,22,Innovation,Development,AI Patent Grants (per 100k),0.83,0.83,0.83
baseline,5,2027Q1,23,Investment,Commercial Ecosystem,Tortoise Commercial Score,14.88,14.88,14.88
baseline,5,2027Q1,24,Investment,Commercial Ecosystem,AI Investment Activity,3.16,3.16,3.16
baseline,5,2027Q1,25,Investment,Commercial Ecosystem,AI Adoption (%),8.0,8.0,8.0
baseline,5,2027Q1,26,Investment,Government Strategy,Tortoise Government Strategy Score,100.0,100.0,100.0
baseline,6,2027Q2,1,Implementation,Talent,Tortoise Talent Score,31.28,31.28,31.28
baseline,6,2027Q2,2,Implementation,Talent,Relative AI Skill Penetration,38.99,38.99,38.99
baseline,6,2027Q2,3,Implementation,Talent,AI Hiring Rate YoY Ratio,73.73,73.73,73.73
baseline,6,2027Q2,4,Implementation,Talent,AI Talent Concentration,35.58,35.58,35.58
baseline,6,2027Q2,5,Implementation,Talent,AI Job Postings (% of Total),27.63,27.63,27.63
baseline,6,2027Q2,6,Implementation,Talent,Net Migration Flow of AI Skills,48.96,48.96,48.96
baseline,6,2027Q2,7,Implementation,Infrastructure,Tortoise Infrastructure Score,77.05,77.05,77.05
baseline,6,2027Q2,8,Implementation,Infrastructure,Compute Hardware Index,3.61,3.61,3.61
baseline,6,2027Q2,9,Implementation,Infrastructure,Parts Semiconductor Devices Exports,0.29,0.29,0.29
baseline,6,2027Q2,10,Implementation,Infrastructure,Internet Speed,7.61,7.61,7.61
baseline,6,2027Q2,11,Implementation,Infrastructure,Energy Resilience Score,86.16,86.16,86.16
baseline,6,2027Q2,12,Implementation,Operating Environment,Tortoise Operating Environment Score,93.94,93.94,93.94
baseline,6,2027Q2,13,Implementation,Operating Environment,AI Social Media Sentiment,15.56,15.56,15.56
baseline,6,2027Q2,14,Implementation,Operating Environment,Conference Submissions on RAI Topics,8.3,8.3,8.3
baseline,6,2027Q2,15,Implementation,Operating Environment,Open Data Score,92.86,92.86,92.86
baseline,6,2027Q2,16,Innovation,Research,Tortoise Research Score,30.67,30.67,30.67
baseline,6,2027Q2,17,Innovation,Research,AI Publications (Total),34.73,34.73,34.73
baseline,6,2027Q2,18,Innovation,Research,AI Citations (% of World Total),10.72,10.72,10.72
baseline,6,2027Q2,19,Innovation,Research,Notable AI Models,2.5,2.5,2.5
baseline,6,2027Q2,20,Innovation,Research,Academia-Industry Concentration,100.0,100.0,100.0
baseline,6,2027Q2,21,Innovation,Development,Tortoise Development Score,25.78,25.78,25.78
baseline,6,2027Q2,22,Innovation,Development,AI Patent Grants (per 100k),0.83,0.83,0.83
baseline,6,2027Q2,23,Investment,Commercial Ecosystem,Tortoise Commercial Score,14.88,14.88,14.88
baseline,6,2027Q2,24,Investment,Commercial Ecosystem,AI Investment Activity,3.16,3.16,3.16
baseline,6,2027Q2,25,Investment,Commercial Ecosystem,AI Adoption (%),8.0,8.0,8.0
baseline,6,2027Q2,26,Investment,Government Strategy,Tortoise Government Strategy Score,100.0,100.0,100.0
baseline,7,2027Q3,1,Implementation,Talent,Tortoise Talent Score,31.28,31.28,31.28
baseline,7,2027Q3,2,Implementation,Talent,Relative AI Skill Penetration,38.99,38.99,38.99
baseline,7,2027Q3,3,Implementation,Talent,AI Hiring Rate YoY Ratio,73.73,73.73,73.73
baseline,7,2027Q3,4,Implementation,Talent,AI Talent Concentration,35.58,35.58,35.58
baseline,7,2027Q3,5,Implementation,Talent,AI Job Postings (% of Total),27.63,27.63,27.63
baseline,7,2027Q3,6,Implementation,Talent,Net Migration Flow of AI Skills,48.96,48.96,48.96
baseline,7,2027Q3,7,Implementation,Infrastructure,Tortoise Infrastructure Score,77.05,77.05,77.05
baseline,7,2027Q3,8,Implementation,Infrastructure,Compute Hardware Index,3.61,3.61,3.61
baseline,7,2027Q3,9,Implementation,Infrastructure,Parts Semiconductor Devices Exports,0.29,0.29,0.29
baseline,7,2027Q3,10,Implementation,Infrastructure,Internet Speed,7.61,7.61,7.61
baseline,7,2027Q3,11,Implementation,Infrastructure,Energy Resilience Score,86.16,86.16,86.16
baseline,7,2027Q3,12,Implementation,Operating Environment,Tortoise Operating Environment Score,93.94,93.94,93.94
baseline,7,2027Q3,13,Implementation,Operating Environment,AI Social Media Sentiment,15.56,15.56,15.56
baseline,7,2027Q3,14,Implementation,Operating Environment,Conference Submissions on RAI Topics,8.3,8.3,8.3
baseline,7,2027Q3,15,Implementation,Operating Environment,Open Data Score,92.86,92.86,92.86
baseline,7,2027Q3,16,Innovation,Research,Tortoise Research Score,30.67,30.67,30.67
baseline,7,2027Q3,17,Innovation,Research,AI Publications (Total),34.73,34.73,34.73
baseline,7,2027Q3,18,Innovation,Research,AI Citations (% of World Total),10.72,10.72,10.72
baseline,7,2027Q3,19,Innovation,Research,Notable AI Models,2.5,2.5,2.5
baseline,7,2027Q3,20,Innovation,Research,Academia-Industry Concentration,100.0,100.0,100.0
baseline,7,2027Q3,21,Innovation,Development,Tortoise Development Score,25.78,25.78,25.78
baseline,7,2027Q3,22,Innovation,Development,AI Patent Grants (per 100k),0.83,0.83,0.83
baseline,7,2027Q3,23,Investment,Commercial Ecosystem,Tortoise Commercial Score,14.88,14.88,14.88
baseline,7,2027Q3,24,Investment,Commercial Ecosystem,AI Investment Activity,3.16,3.16,3.16
baseline,7,2027Q3,25,Investment,Commercial Ecosystem,AI Adoption (%),8.0,8.0,8.0
baseline,7,2027Q3,26,Investment,Government Strategy,Tortoise Government Strategy Score,100.0,100.0,100.0
baseline,8,2027Q4,1,Implementation,Talent,Tortoise Talent Score,31.28,31.28,31.28
baseline,8,2027Q4,2,Implementation,Talent,Relative AI Skill Penetration,38.99,38.99,38.99
baseline,8,2027Q4,3,Implementation,Talent,AI Hiring Rate YoY Ratio,73.73,73.73,73.73
baseline,8,2027Q4,4,Implementation,Talent,AI Talent Concentration,35.58,35.58,35.58
baseline,8,2027Q4,5,Implementation,Talent,AI Job Postings (% of Total),27.63,27.63,27.63
baseline,8,2027Q4,6,Implementation,Talent,Net Migration Flow of AI Skills,48.96,48.96,48.96
baseline,8,2027Q4,7,Implementation,Infrastructure,Tortoise Infrastructure Score,77.05,77.05,77.05
baseline,8,2027Q4,8,Implementation,Infrastructure,Compute Hardware Index,3.61,3.61,3.61
baseline,8,2027Q4,9,Implementation,Infrastructure,Parts Semiconductor Devices Exports,0.29,0.29,0.29
baseline,8,2027Q4,10,Implementation,Infrastructure,Internet Speed,7.61,7.61,7.61
baseline,8,2027Q4,11,Implementation,Infrastructure,Energy Resilience Score,86.16,86.16,86.16
baseline,8,2027Q4,12,Implementation,Operating Environment,Tortoise Operating Environment Score,93.94,93.94,93.94
baseline,8,2027Q4,13,Implementation,Operating Environment,AI Social Media Sentiment,15.56,15.56,15.56
baseline,8,2027Q4,14,Implementation,Operating Environment,Conference Submissions on RAI Topics,8.3,8.3,8.3
baseline,8,2027Q4,15,Implementation,Operating Environment,Open Data Score,92.86,92.86,92.86
baseline,8,2027Q4,16,Innovation,Research,Tortoise Research Score,30.67,30.67,30.67
baseline,8,2027Q4,17,Innovation,Research,AI Publications (Total),34.73,34.73,34.73
baseline,8,2027Q4,18,Innovation,Research,AI Citations (% of World Total),10.72,10.72,10.72
baseline,8,2027Q4,19,Innovation,Research,Notable AI Models,2.5,2.5,2.5
baseline,8,2027Q4,20,Innovation,Research,Academia-Industry Concentration,100.0,100.0,100.0
baseline,8,2027Q4,21,Innovation,Development,Tortoise Development Score,25.78,25.78,25.78
baseline,8,2027Q4,22,Innovation,Development,AI Patent Grants (per 100k),0.83,0.83,0.83
baseline,8,2027Q4,23,Investment,Commercial Ecosystem,Tortoise Commercial Score,14.88,14.88,14.88
baseline,8,2027Q4,24,Investment,Commercial Ecosystem,AI Investment Activity,3.16,3.16,3.16
baseline,8,2027Q4,25,Investment,Commercial Ecosystem,AI Adoption (%),8.0,8.0,8.0
baseline,8,2027Q4,26,Investment,Government Strategy,Tortoise Government Strategy Score,100.0,100.0,100.0
baseline,9,2028Q1,1,Implementation,Talent,Tortoise Talent Score,31.28,31.28,31.28
baseline,9,2028Q1,2,Implementation,Talent,Relative AI Skill Penetration,38.99,38.99,38.99
baseline,9,2028Q1,3,Implementation,Talent,AI Hiring Rate YoY Ratio,73.73,73.73,73.73
baseline,9,2028Q1,4,Implementation,Talent,AI Talent Concentration,35.58,35.58,35.58
baseline,9,2028Q1,5,Implementation,Talent,AI Job Postings (% of Total),27.63,27.63,27.63
baseline,9,2028Q1,6,Implementation,Talent,Net Migration Flow of AI Skills,48.96,48.96,48.96
baseline,9,2028Q1,7,Implementation,Infrastructure,Tortoise Infrastructure Score,77.05,77.05,77.05
baseline,9,2028Q1,8,Implementation,Infrastructure,Compute Hardware Index,3.61,3.61,3.61
baseline,9,2028Q1,9,Implementation,Infrastructure,Parts Semiconductor Devices Exports,0.29,0.29,0.29
baseline,9,2028Q1,10,Implementation,Infrastructure,Internet Speed,7.61,7.61,7.61
baseline,9,2028Q1,11,Implementation,Infrastructure,Energy Resilience Score,86.16,86.16,86.16
baseline,9,2028Q1,12,Implementation,Operating Environment,Tortoise Operating Environment Score,93.94,93.94,93.94
baseline,9,2028Q1,13,Implementation,Operating Environment,AI Social Media Sentiment,15.56,15.56,15.56
baseline,9,2028Q1,14,Implementation,Operating Environment,Conference Submissions on RAI Topics,8.3,8.3,8.3
baseline,9,2028Q1,15,Implementation,Operating Environment,Open Data Score,92.86,92.86,92.86
baseline,9,2028Q1,16,Innovation,Research,Tortoise Research Score,30.67,30.67,30.67
baseline,9,2028Q1,17,Innovation,Research,AI Publications (Total),34.73,34.73,34.73
baseline,9,2028Q1,18,Innovation,Research,AI Citations (% of World Total),10.72,10.72,10.72
baseline,9,2028Q1,19,Innovation,Research,Notable AI Models,2.5,2.5,2.5
baseline,9,2028Q1,20,Innovation,Research,Academia-Industry Concentration,100.0,100.0,100.0
baseline,9,2028Q1,21,Innovation,Development,Tortoise Development Score,25.78,25.78,25.78
baseline,9,2028Q1,22,Innovation,Development,AI Patent Grants (per 100k),0.83,0.83,0.83
baseline,9,2028Q1,23,Investment,Commercial Ecosystem,Tortoise Commercial Score,14.88,14.88,14.88
baseline,9,2028Q1,24,Investment,Commercial Ecosystem,AI Investment Activity,3.16,3.16,3.16
baseline,9,2028Q1,25,Investment,Commercial Ecosystem,AI Adoption (%),8.0,8.0,8.0
baseline,9,2028Q1,26,Investment,Government Strategy,Tortoise Government Strategy Score,100.0,100.0,100.0
baseline,10,2028Q2,1,Implementation,Talent,Tortoise Talent Score,31.28,31.28,31.28
baseline,10,2028Q2,2,Implementation,Talent,Relative AI Skill Penetration,38.99,38.99,38.99
baseline,10,2028Q2,3,Implementation,Talent,AI Hiring Rate YoY Ratio,73.73,73.73,73.73
baseline,10,2028Q2,4,Implementation,Talent,AI Talent Concentration,35.58,35.58,35.58
baseline,10,2028Q2,5,Implementation,Talent,AI Job Postings (% of Total),27.63,27.63,27.63
baseline,10,2028Q2,6,Implementation,Talent,Net Migration Flow of AI Skills,48.96,48.96,48.96
baseline,10,2028Q2,7,Implementation,Infrastructure,Tortoise Infrastructure Score,77.05,77.05,77.05
baseline,10,2028Q2,8,Implementation,Infrastructure,Compute Hardware Index,3.61,3.61,3.61
baseline,10,2028Q2,9,Implementation,Infrastructure,Parts Semiconductor Devices Exports,0.29,0.29,0.29
baseline,10,2028Q2,10,Implementation,Infrastructure,Internet Speed,7.61,7.61,7.61
baseline,10,2028Q2,11,Implementation,Infrastructure,Energy Resilience Score,86.16,86.16,86.16
baseline,10,2028Q2,12,Implementation,Operating Environment,Tortoise Operating Environment Score,93.94,93.94,93.94
baseline,10,2028Q2,13,Implementation,Operating Environment,AI Social Media Sentiment,15.56,15.56,15.56
baseline,10,2028Q2,14,Implementation,Operating Environment,Conference Submissions on RAI Topics,8.3,8.3,8.3
baseline,10,2028Q2,15,Implementation,Operating Environment,Open Data Score,92.86,92.86,92.86
baseline,10,2028Q2,16,Innovation,Research,Tortoise Research Score,30.67,30.67,30.67
baseline,10,2028Q2,17,Innovation,Research,AI Publications (Total),34.73,34.73,34.73
baseline,10,2028Q2,18,Innovation,Research,AI Citations (% of World Total),10.72,10.72,10.72
baseline,10,2028Q2,19,Innovation,Research,Notable AI Models,2.5,2.5,2.5
baseline,10,2028Q2,20,Innovation,Research,Academia-Industry Concentration,100.0,100.0,100.0
baseline,10,2028Q2,21,Innovation,Development,Tortoise Development Score,25.78,25.78,25.78
baseline,10,2028Q2,22,Innovation,Development,AI Patent Grants (per 100k),0.83,0.83,0.83
baseline,10,2028Q2,23,Investment,Commercial Ecosystem,Tortoise Commercial Score,14.88,14.88,14.88
baseline,10,2028Q2,24,Investment,Commercial Ecosystem,AI Investment Activity,3.16,3.16,3.16
baseline,10,2028Q2,25,Investment,Commercial Ecosystem,AI Adoption (%),8.0,8.0,8.0
baseline,10,2028Q2,26,Investment,Government Strategy,Tortoise Government Strategy Score,100.0,100.0,100.0
baseline,11,2028Q3,1,Implementation,Talent,Tortoise Talent Score,31.28,31.28,31.28
baseline,11,2028Q3,2,Implementation,Talent,Relative AI Skill Penetration,38.99,38.99,38.99
baseline,11,2028Q3,3,Implementation,Talent,AI Hiring Rate YoY Ratio,73.73,73.73,73.73
baseline,11,2028Q3,4,Implementation,Talent,AI Talent Concentration,35.58,35.58,35.58
baseline,11,2028Q3,5,Implementation,Talent,AI Job Postings (% of Total),27.63,27.63,27.63
baseline,11,2028Q3,6,Implementation,Talent,Net Migration Flow of AI Skills,48.96,48.96,48.96
baseline,11,2028Q3,7,Implementation,Infrastructure,Tortoise Infrastructure Score,77.05,77.05,77.05
baseline,11,2028Q3,8,Implementation,Infrastructure,Compute Hardware Index,3.61,3.61,3.61
baseline,11,2028Q3,9,Implementation,Infrastructure,Parts Semiconductor Devices Exports,0.29,0.29,0.29
baseline,11,2028Q3,10,Implementation,Infrastructure,Internet Speed,7.61,7.61,7.61
baseline,11,2028Q3,11,Implementation,Infrastructure,Energy Resilience Score,86.16,86.16,86.16
baseline,11,2028Q3,12,Implementation,Operating Environment,Tortoise Operating Environment Score,93.94,93.94,93.94
baseline,11,2028Q3,13,Implementation,Operating Environment,AI Social Media Sentiment,15.56,15.56,15.56
baseline,11,2028Q3,14,Implementation,Operating Environment,Conference Submissions on RAI Topics,8.3,8.3,8.3
baseline,11,2028Q3,15,Implementation,Operating Environment,Open Data Score,92.86,92.86,92.86
baseline,11,2028Q3,16,Innovation,Research,Tortoise Research Score,30.67,30.67,30.67
baseline,11,2028Q3,17,Innovation,Research,AI Publications (Total),34.73,34.73,34.73
baseline,11,2028Q3,18,Innovation,Research,AI Citations (% of World Total),10.72,10.72,10.72
baseline,11,2028Q3,19,Innovation,Research,Notable AI Models,2.5,2.5,2.5
baseline,11,2028Q3,20,Innovation,Research,Academia-Industry Concentration,100.0,100.0,100.0
baseline,11,2028Q3,21,Innovation,Development,Tortoise Development Score,25.78,25.78,25.78
baseline,11,2028Q3,22,Innovation,Development,AI Patent Grants (per 100k),0.83,0.83,0.83
baseline,11,2028Q3,23,Investment,Commercial Ecosystem,Tortoise Commercial Score,14.88,14.88,14.88
baseline,11,2028Q3,24,Investment,Commercial Ecosystem,AI Investment Activity,3.16,3.16,3.16
baseline,11,2028Q3,25,Investment,Commercial Ecosystem,AI Adoption (%),8.0,8.0,8.0
baseline,11,2028Q3,26,Investment,Government Strategy,Tortoise Government Strategy Score,100.0,100.0,100.0
baseline,12,2028Q4,1,Implementation,Talent,Tortoise Talent Score,31.28,31.28,31.28
baseline,12,2028Q4,2,Implementation,Talent,Relative AI Skill Penetration,38.99,38.99,38.99
